,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,AI Product Owner,"https://www.pracuj.pl/praca/ai-product-owner-saudi-arabia,oferta,10317061",,,55 000–70 000 zł / mies. (zal. od umowy),"As an AI Product Owner, you will be working for our client, a prominent financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. You will become responsible for managing the planning, developing,...",,['Python'],python,2023-12-07
1,BI Data Modeler,"https://www.pracuj.pl/praca/bi-data-modeler-krakow-wielicka-28,oferta,1002945514",,,,,,"['SQL', 'DAX', 'Power BI']",python,2023-12-07
2,Specjalista ds. Monitoringu i Automatyzacji IT,"https://www.pracuj.pl/praca/specjalista-ds-monitoringu-i-automatyzacji-it-lodz-wersalska-75,oferta,1003024451",,,,,,"['JavaScript', 'Postman']",python,2023-12-07
3,C/C++ Developer with Functional Safety,"https://www.pracuj.pl/praca/c-c%2b%2b-developer-with-functional-safety-poznan-ignacego-paderewskiego-6,oferta,1003024445",,,10 000–20 160 zł / mies. (zal. od umowy),"We are seeking C/C++ software developers to implement and maintain software with a strong emphasis on functional safety for a large customer in the Industrial domain. The team will ultimately consist of five team members, including a Scrum Master....",,"['C', 'C++', 'Functional Safety', 'Python', 'Azure DevOps', 'Git']",python,2023-12-07
4,Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-krakow-wielicka-28,oferta,1002977949",,,22 000–25 000 zł brutto / mies.,We are going through and exciting period of change and are seeking a highly motivated and experienced Senior Data Engineer to join our Data Engineering team. You will work as part of our exciting greenfield tech hub covering all facets of...,,"['Python', 'AWS', 'SQL']",python,2023-12-07
5,Data Science Specialist,"https://www.pracuj.pl/praca/data-science-specialist-saudi-arabia,oferta,10317026",,,55 000–70 000 zł / mies. (zal. od umowy),"As a Data Science Specialist, you will be working for our client, a prominent financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. You will become responsible for adapting at using large data sets to...",,"['Python', 'R', 'SAS', 'C', 'Java', 'JavaScript', 'Spark', 'Google Analytics', 'Hadoop', 'MySQL']",python,2023-12-07
6,,,,,8 000–12 000 zł netto (+ VAT) / mies.,"Szukamy kandydata na stanowisko Site Reliability Engineer (IT Support), osoby odpowiedzialnej, dyspozycyjnej i zainteresowanej pracą zmianową, która tak jak my rozwija swoje umiejętności, aby realizować coraz ciekawsze i bardziej wymagające...",,"['Jira', 'Zabbix', 'Grafana', 'MongoDB', 'PostgreSQL', 'AWS', 'Microsoft Azure', 'Firebase', 'GCP']",python,2023-12-07
7,Team Leader (Python),"https://www.pracuj.pl/praca/team-leader-python-warszawa,oferta,1003024429",,,27 000–33 000 zł netto (+ VAT) / mies.,"Wspólnie z naszym Partnerem poszukujemy doświadczonej osoby na stanowisko Team Leader, która obejmie rolę wymagającą nie tylko fachowej wiedzy technicznej, ale także umiejętności skutecznego zarządzania zespołem., , Nasz partner to lider w...",,['Python'],python,2023-12-07
8,Simulation Software Engineer,"https://www.pracuj.pl/praca/simulation-software-engineer-mirkow-pow-wroclawski-wroclawska-43,oferta,1002983289",,,,,,"['C', 'C++', 'Python']",python,2023-12-07
9,Software Engineer - Tool Developer,"https://www.pracuj.pl/praca/software-engineer-tool-developer-mirkow-pow-wroclawski-wroclawska-43,oferta,1002983287",,,,,,"['C', 'C#', 'C++', 'Python', 'Jira', 'Jenkins', 'Git']",python,2023-12-07
10,Główny Specjalista/Główna Specjalistka ds. Zarządzania Siecią i Platformami Usługowymi GNOCe,"https://www.pracuj.pl/praca/glowny-specjalista-glowna-specjalistka-ds-zarzadzania-siecia-i-platformami-uslug-warszawa-aleje-jerozolimskie-160,oferta,1002983226",,,,"Jesteśmy zgranym zespołem odpowiedzialnym za zapewnienie prawidłowego działania systemów Mobile Packet Core operatorów Grupy Orange. Szukamy ambitnej osoby z doświadczeniem w administracji lub projektowaniu systemów Mobile Core, IP. Dołącz do nas...",,[],python,2023-12-07
11,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-krakow,oferta,1003008676",,,160–170 zł netto (+ VAT) / godz.,,,"['Python', 'AWS', 'DynamoDB']",python,2023-12-07
12,Tester oprogramowania,"https://www.pracuj.pl/praca/tester-oprogramowania-warszawa-aleje-jerozolimskie-125,oferta,1002970048",,,70–90 zł netto (+ VAT) / godz.,"Miejsce pracy: możliwa praca 100% zdalnie, Start: zgodnie z dostępnością Kandydata (max. 3 miesiące wypowiedzenia), Forma współpracy: B2B z ITFS – współpraca długofalowa, pełen etat, Stawka: 70-90 PLN netto/msc + VAT, Klient: polska firma tworząca...",,"['MS SQL', 'PostgreSQL']",python,2023-12-07
13,Administrator Zabbix / Ekspert ds. monitoringu systemów,"https://www.pracuj.pl/praca/administrator-zabbix-ekspert-ds-monitoringu-systemow-warszawa-prosta-67,oferta,1003006343",,,14 000–17 000 zł brutto / mies.,,,"['Zabbix', 'Jira', 'Windows Server', 'Linux', 'LAN/WAN']",python,2023-12-07
14,Programista systemów wbudowanych - Embedded software developer,"https://www.pracuj.pl/praca/programista-systemow-wbudowanych-embedded-software-developer-nowy-konik-pow-minski-konikowa-10,oferta,1002986115",,,,"Szukamy doświadczonego Inżyniera - Programisty systemów wbudowanych, który dołączy do naszego zespołu w celu opracowywania oprogramowania do zaawansowanych urządzeń elektronicznych z dziedziny łączności satelitarnej. Osoba na tym stanowisku będzie...",,['C++'],python,2023-12-07
15,Web Analyst,"https://www.pracuj.pl/praca/web-analyst-lodz-ogrodowa-8,oferta,1003024351",,,,,,[],python,2023-12-07
16,Senior Full Stack Engineer,"https://www.pracuj.pl/praca/senior-full-stack-engineer-katowice,oferta,1002997346",,,,,,[],python,2023-12-07
17,Test Engineer,"https://www.pracuj.pl/praca/test-engineer-krakow,oferta,1002971483",,,,,,[],python,2023-12-07
18,Developer,"https://www.pracuj.pl/praca/developer-warszawa-pulawska-2,oferta,1003010863",,,,,,"['Python', 'Git', 'HTML', 'JavaScript', 'CSS']",python,2023-12-07
19,BI Analyst,"https://www.pracuj.pl/praca/bi-analyst-united-kingdom,oferta,10342091",,,,"As a BI Analyst at Sporty, you’ll be mining through petabytes of data to provide key insights that drive core business decisions. You’ll create dashboards that are used on a daily basis by product managers, traders, and executives, as well as...",,"['Python', 'MySQL', 'AWS', 'Linux']",python,2023-12-07
20,Senior Backend Engineer for IoT Solutions,"https://www.pracuj.pl/praca/senior-backend-engineer-for-iot-solutions-warszawa-plac-europejski-1,oferta,1002966718",,,,"Samsung R&D Institute Poland, is looking for experienced IoT Senior Backend Engineer, for the team working on the development of Home IoT services based on Cloud architecture., , Our Team is dedicated to improving everyday lives by making objects...",,"['Java', 'Spring-Boot', 'Java Script', 'Node.js', 'Python', 'Lua', 'Groovy', 'RDBMS', 'Messaging System', 'Cache System (eg. Redis cache)', 'Google Cloud', 'AWS', 'Auth0 technology', 'REST APIs', 'OAuth 2.0', 'SOAP', 'Git', 'Jira', 'Confluence', 'Sumo Logic']",python,2023-12-07
21,Data Analyst,"https://www.pracuj.pl/praca/data-analyst-warszawa,oferta,1003003637",,,,,,[],python,2023-12-07
22,Model Management Analyst,"https://www.pracuj.pl/praca/model-management-analyst-warszawa,oferta,1002977568",,,,,,[],python,2023-12-07
23,,,,,,,,"['AWS', 'Tableau', 'Salesforce', 'SQL']",python,2023-12-07
24,Senior Data Engineer,"https://www.pracuj.pl/praca/senior-data-engineer-warszawa-pulawska-182,oferta,1002980204",,,180–210 zł netto (+ VAT) / godz.,"As Senior Data Engineer, you will join a new team of data engineers in Poland driving ongoing development and delivery of our data management solutions. You will be working in an Agile environment with regular sprint meetings and a daily focus on...",,"['Python', 'AWS', 'SQL', 'Spark', 'AWS Glue', 'CI/CD']",python,2023-12-07
25,Python Developer,"https://www.pracuj.pl/praca/python-developer-poznan,oferta,1003024201",,,12 000–25 000 zł netto (+ VAT) / mies.,"The patient is a platform that keeps hair on our heads short and beards neatly trimmed. We bet you heard about them already. Sounds cool, right?",,"['Python', 'AWS', 'Pytest']",python,2023-12-07
26,Data Engineer with Python,"https://www.pracuj.pl/praca/data-engineer-with-python-warszawa-chlodna-51,oferta,1002999830",,,9 500–25 200 zł / mies. (zal. od umowy),"We are building the next generation of Data Platform for Asset Management. We build, operate and support tools and services dedicated to store, transform, and distribute data related to several use-cases: Responsible Investment, Quantitative...",,"['Databricks', 'Azure Event Hub', 'Azure Pipelines', 'Azure Data Factory', 'Python', 'Spark 3']",python,2023-12-07
27,"Corporate Audit, AVP – Full Stack Data Scientist","https://www.pracuj.pl/praca/corporate-audit-avp-full-stack-data-scientist-krakow-generala-bohdana-zielinskiego-3,oferta,1002994331",,,,,,"['AWS', 'SQL', 'Python']",python,2023-12-07
28,"Corporate Audit, Officer - Data Visualization Expert","https://www.pracuj.pl/praca/corporate-audit-officer-data-visualization-expert-krakow-generala-bohdana-zielinskiego-3,oferta,1002994329",,,,,,"['AWS', 'SQL']",python,2023-12-07
29,,,,,,,,"['Kubernetes', 'Redis', 'Elasticsearch', 'Kafka', '.NET Core', 'Ansible', 'Python', 'Red Hat']",python,2023-12-07
30,Cloud Platform Architect,"https://www.pracuj.pl/praca/cloud-platform-architect-krakow-puszkarska-7j,oferta,1003017056",,,,"Cloud Platform Architect will be part of the global team KION Cloud Plan, Build, Governance, and Operations responsible for designing and maintaining the multi-cloud platform in KION Group IT. The person will take the responsibility for ensuring...",,"['Microsoft Azure', 'Google Cloud Platform', 'Azure DevOps', 'AKS', 'GKE', 'GitHub Actions', 'Azure CLI', 'VS Code', 'Python', 'Bash', 'PowerShell', 'Docker', 'Kubernetes']",python,2023-12-07
31,ALCM Project Manager,"https://www.pracuj.pl/praca/alcm-project-manager-krakow-kapelanka-42a,oferta,1002977371",,,,"Finance change team manages implementation of systems and process changes resulting from new regulatory requirements, Businesses initiatives and strategic transformations. Within Finance Change team, a team is dedicated to support HSBC Continental...",,"['SAS', 'Python', 'Informatica PowerCenter', 'Oracle', 'SQL']",python,2023-12-07
32,Machine Learning Engineer,"https://www.pracuj.pl/praca/machine-learning-engineer-krakow-promienistych-1,oferta,1003023974",,,,,,"['R', 'Javascript', 'SQL', 'Phyton']",python,2023-12-07
33,Inżynier DevOps / SRE,"https://www.pracuj.pl/praca/inzynier-devops-sre-warszawa,oferta,1002994261",,,18 000–20 000 zł netto (+ VAT) / mies.,"Projekt dotyczy Transformacji Systemów Sieci w firmie z branży telekomunikacyjnej, , Wykorzystywane technologie i narzędzia :, • JEE (Microprofile, Quarkus, Spring-boot), React, • ActiveMQ, Kafka, • Apache Jackrabbit, MinIO, • Keycloak, • Oracle,...",,"['CI/CD', 'Python', 'Java', 'Groovy', 'Linux', 'GitLab', 'Elasticsearch', 'Zabbix']",python,2023-12-07
34,AI Specialist with Python,"https://www.pracuj.pl/praca/ai-specialist-with-python-krakow,oferta,1003016932",,,,"Poszukujemy Specjalistów AI, którzy dołączą do zespołu naszego austriackiego klienta, specjalizującego się w branży przemysłowej.",,"['C#', 'OpenCV', 'TensorFlow', 'PyTorch', 'Git']",python,2023-12-07
35,C Embedded Developer,"https://www.pracuj.pl/praca/c-embedded-developer-wroclaw,oferta,1003023929",,,,"For our client who opens R&D center in Wrocław, we are looking for a Software Engineer who will join the project and help build this organization from scratch., , The company develops and manufactures technologically advanced electronic,...",,"['C', 'embedded systems']",python,2023-12-07
36,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-warszawa-opatowska-2,oferta,1003003238",,,,The person in this role will work with project teams developing a modern data platform in a cloud environment for global brands. They will work in an international environment and specialize in BI & Big Data cloud architecture and the latest...,,"['Python', 'Jira', 'Confluence', 'Keras', 'TensorFlow', 'Theano', 'PyTorch', 'Amazon SageMaker', 'Azure Machine Learning', 'MLflow']",python,2023-12-07
37,Data/BI Solution Architect,"https://www.pracuj.pl/praca/data-bi-solution-architect-warszawa-aleje-jerozolimskie-123a,oferta,1003023898",,,,"We are seeking an experienced Data/BI Solution Architect with a comprehensive understanding of business intelligence solution architecture, data warehousing, ETL processes, and web development., The ideal candidate should be proficient in the full...",,"['SQL', 'AWS', 'ETL', 'BI', 'DWH']",python,2023-12-07
38,Golang Developer,"https://www.pracuj.pl/praca/golang-developer-warszawa-aleje-jerozolimskie-98,oferta,1003023890",,,,"An American social news aggregation, content rating, and discussion website. Registered users submit content to the site such as links, text posts, images, and videos, which are then voted up or down by other members.",,"['Go', 'PostgreSQL', 'Redis', 'Cassandra', 'AWS']",python,2023-12-07
39,SQL Developer,"https://www.pracuj.pl/praca/sql-developer-warszawa-komitetu-obrony-robotnikow-43,oferta,1003003111",,,,,,"['SQL', 'SSIS']",python,2023-12-07
40,Data Scientist,"https://www.pracuj.pl/praca/data-scientist-katowice-wroclawska-54,oferta,1002950595",,,9 000–16 000 zł brutto / mies.,,,"['AWS', 'Python', 'Azure Cosmos DB']",python,2023-12-07
41,,,,,9 500–12 700 zł brutto / mies.,,,[],python,2023-12-07
42,Senior Azure Data Engineer,"https://www.pracuj.pl/praca/senior-azure-data-engineer-warszawa-domaniewska-39a,oferta,1003010491",,,190 zł netto (+ VAT) / godz.,"Industry: IT, Location: 100% remote, Project language: English, Polish, Remuneration: up to 190 PLN/h net + VAT, Type of assignment: B2B, , We are looking for an experienced Azure Data Engineer, who will support our global customers mainly in the...",,"['Microsoft Azure', 'Azure DevOps', 'GitHub', 'SQL', 'Python']",python,2023-12-07
43,,,,,5 000–12 700 zł brutto / mies.,,,[],python,2023-12-07
44,Backend Engineer,"https://www.pracuj.pl/praca/backend-engineer-krakow-krupnicza-5,oferta,1002977108",,,12 400–25 900 zł netto (+ VAT) / mies.,,,"['Ruby on Rails', 'Python', 'Kubernetes', 'AWS', 'Docker', 'SQL', 'Ruby']",python,2023-12-07
45,Clojure Developer,"https://www.pracuj.pl/praca/clojure-developer-warszawa,oferta,1002977027",,,140–170 zł netto (+ VAT) / godz.,We are looking for Clojure and software developement enthusiast to join a team working on an innovative financial/tax related workstream in international environment. The team values cooperation and growth of technology competencies together with...,,"['React.js', 'Angular.js', 'JavaScript', 'CSS', 'Clojure', 'Python', 'Ruby on Rails', 'Java', 'Scala', 'Node.js', 'Go', 'Git', 'Mercurial', 'AWS']",python,2023-12-07
46,Engineering Team Lead (Reliability Team),"https://www.pracuj.pl/praca/engineering-team-lead-reliability-team-krakow-fabryczna-20a,oferta,1002966227",,,21 000–31 500 zł / mies. (zal. od umowy),,,"['Java', 'Databases', 'Prometheus', 'Grafana', 'SDLC', 'SQL', 'Observability tools']",python,2023-12-07
