,Tor wyścigowy Carrera Mario,https://www.olx.pl/d/oferta/tor-wyscigowy-carrera-mario-CID88-IDVXoGd.html,"Tor wyścigowy Carrera Mario <br />
Produkt powystawowy kompletny, sprawny. W wersji outletowej (jeden ludzik w autku ma doklejoną głowę)<br />
80 zł(Cena katalogowa 155 zł)<br />
W razie pytań proszę o wiadomość <br />
Zdjęcie przedstawia realny stan",871183713
0,Tor wyścigowy Carrera Mario,https://www.olx.pl/d/oferta/tor-wyscigowy-carrera-mario-CID88-IDVXoGd.html,"Tor wyścigowy Carrera Mario <br />
Produkt powystawowy kompletny, sprawny. W wersji outletowej (jeden ludzik w autku ma doklejoną głowę)<br />
80 zł(Cena katalogowa 155 zł)<br />
W razie pytań proszę o wiadomość <br />
Zdjęcie przedstawia realny stan",871183713
1,Dres Mario ocieplany rozmiary od 110 do 152 czerwony,https://www.olx.pl/d/oferta/dres-mario-ocieplany-rozmiary-od-110-do-152-czerwony-CID88-IDX51fY.html,"Dres Mario 2 - częściowy<br />
Dres na meszku<br />
Dres składa się z bluzy i spodni<br />
Jakość Premium<br />
Materiał Bawełna<br />
<br />
Dostępne rozmiary: 98, 104/110, 116/122, 122/128, 134/140, 146/152<br />
<br />
Jeśli są Państwo zainteresowani większą ilością rzeczy istnieje możliwość zrobienia jednej przesyłki.<br />
<br />
Wymiary:<br />
<br />
98 -Bluza: Szerokość 34, Długość 44, Rękaw od szycia na ramieniu 38 od paszki 30<br />
Spodnie: Pas na płasko 25 uciąga się do 35, Długość całkowita 56 od kroku 39<br />
<br />
104/110 - Bluza: Szerokość 38, Długość 47, Rękaw od szycia na ramieniu 41 od paszki 34<br />
Spodnie: Pas na płasko 25 uciąga się do 37, Długość całkowita 62 od kroku 44<br />
<br />
116/122 - Bluza: Szerokość 39, Długość 49, Rękaw od szycia na ramieniu 44 od paszki 37<br />
Spodnie: Pas na płasko 26 uciąga się do 40, Długość całkowita 66 od kroku 48,<br />
<br />
122/128 - Bluza: Szerokość 42, Długość 52, Rękaw od szycia na ramieniu 46 od paszki 37<br />
Spodnie: Pas na płasko 28 uciąga się do 42, Długość całkowita 70 od kroku 53<br />
<br />
134/140 - Bluza: Szerokość 44, Długość 55, Rękaw od szycia na ramieniu 49 od paszki 40<br />
Spodnie: Pas na płasko 30 uciąga się do 45, Długość całkowita 75 od kroku 56<br />
<br />
146/152 -Bluza: Szerokość 45, Długość 58, Rękaw od szycia na ramieniu 52 od paszki 43<br />
Spodnie: Pas na płasko 32 uciąga się do 49, Długość całkowita 83 od kroku 62",873000298
2,Super Mario Bros zabawka  amigurumi prezent święta urodziny,https://www.olx.pl/d/oferta/super-mario-bros-zabawka-amigurumi-prezent-swieta-urodziny-CID88-IDVql68.html,"Szydełkowa maskotka, wykonana z pasją. Super unikatowy prezent na każdą okoliczność. Zabawka wykonana z pluszowej włóczki Himalaya Dolphin baby, wypchana kilka silikonową. Wysokość 45 cm<br />
Cenę ustalam wg godzin pracy<br />
15h x netto na godzinę=x w tym cena za włóczki, wydaje się dużo? Czy ty chcesz pracować na 10zł? Serce włożone w wykonanie zabawki oraz dbanie o szczegóły i dokładność jest bezcenna.",863305120
3,Super Mario Bros. Wonder stan idealny Switch,https://www.olx.pl/d/oferta/super-mario-bros-wonder-stan-idealny-switch-CID99-IDXwOXj.html,"Na sprzedaż gra Super Mario Bros. Wonder, stan idealny. Sprzedaję, bo przeszedłem :).<br />
<br />
Proszę o kontakt SMS lub OLX, będę oddzwaniał. Preferuje odbiór osobisty.",879387869
4,"Nintendo  64 gry, Mario64, Quake u inne",https://www.olx.pl/d/oferta/nintendo-64-gry-mario64-quake-u-inne-CID99-IDXwOND.html,"Sprzedam pakiet gier na konsole Nintendo 64, gry sprawne widać ślady użytkowania.",879387269
5,Super Mario Odyssey,https://www.olx.pl/d/oferta/super-mario-odyssey-CID99-IDXuviC.html,"Sprzedam grę Super Mario Odyssey na Nintendo Switch. Sam kartridż.<br />
<br />
#nintendo #switch #gra #game #super #mario #odyssey",879077826
6,Nintendo New 3DS Czarny Gry New Super Mario 2,https://www.olx.pl/d/oferta/nintendo-new-3ds-czarny-gry-new-super-mario-2-CID99-IDXwnSH.html,"Na zamianę lub ewentualną sprzedaż posiadam konsolę Nintendo New 3DS wraz z dedykowanym pokrowcem z New Super Mario 2, 4 grami oraz ładowarką (potrzebna jest przejściówka, koszt ok.5zł). <br />
Konsola jest w 100% sprawna, pochodzi z mojej prywatnej kolekcji. <br />
<br />
Możliwa zamiana na inne gry lub konsole, elektronike, płyty z muzyką lub Macbook Air/Pro M1 lub wyższy, wtedy mogę dać kilka przedmiotów lub sporo dopłacić.<br />
<br />
Zapraszam również na inne ogłoszenia.",879283795
7,Konsola nintendo switch oled Mario nowa + szklo,https://www.olx.pl/d/oferta/konsola-nintendo-switch-oled-mario-nowa-szklo-CID99-IDXwOag.html,"Konsola nowa kupiona wysylkowo w sklepie posiadam paragon zakupu z wczoraj tj. 20.11.2023. Sprzedaje poniewaz okazala sie nie trafionym prezentem. Caly komplet. Limitowana edycja Mario red a wiec konsola w kolorze czerwonym.<br />
Gratis dodaje nowe nienaklejone szklo flexible glass 3mk do tego modelu konsoli <br />
Cena ostateczna",879384828
8,"Retro konsola pod HDMI dużo gier GTA, Mario, tank, contra itp.",https://www.olx.pl/d/oferta/retro-konsola-pod-hdmi-duzo-gier-gta-mario-tank-contra-itp-CID99-IDXwJP1.html,"Konsola użyta 2 razy, jak nowa w zestawie Karta 32gb, fajna atrakcja dla dzieci, ale i dla starszych którzy pamiętają te Retro gierki;)<br />
<br />
Opis<br />
<br />
MENU W J.POLSKI<br />
<br />
Możliwość wgrania nowych gier<br />
<br />
Najważniejsze zalety konsoli retro:<br />
<br />
Wbudowane ponad 15 tysięcy kultowych gier<br />
<br />
2 PADY do gry - BEZPRZEWODOWE<br />
Podłącz mini konsolę do gniazda HDMI oraz USB<br />
Obsługa 9 emulatorów, w tym 8-bitowych, 16-bitowych, 32-bitowych, 64-bitowych i 128-bitowych<br />
Procesor: Dual Core Cortex A7<br />
Pamięć operacyjna: DDR3 256MB<br />
Wbudowana pamięć 128MB<br />
Wspiera rozdzielczość 4K Ultra HD TV Video 1080P/720P.<br />
Obsługa kart pamięci do 64GB<br />
Wysokiej jakości wykonanie<br />
MENU w języku polskim - do ustawienia<br />
wtyk HDMI - możliwość podłączenia do TV<br />
Idealny prezent dla Twojego dziecka jak i dla Ciebie<br />
Przenośna konsola do gier - MAŁY ROZMIAR wielkości USB<br />
Możliwość wgrywania własnych gier<br />
Bardzo prosta obsługa<br />
<br />
W zestawie są 2 kontrolery można grać w dwie osoby<br />
<br />
Specyfikacja konsoli retro:<br />
<br />
System operacyjny: Linux + Retroarch<br />
Rozmiar: 10 x 4,5 x 1 cm<br />
Pamięć operacyjna RAM: DDR3 256MB<br />
Obsługa kart pamięci: do 64GB<br />
Karta 32 GB w zestawie wgrane ponad 5 000 gier<br />
Obsługa gier z konsol: Playstation1, ATARI2600, ATARI7800, MAME, FC, GB, GBA, GBC, MD, SFC, N64<br />
Format audio: MP3, WMA, OGG, WAV , AAC, APE<br />
Format zdjęć: JPEG, BMP, GIF, TIF i PNG<br />
Format wideo: RM, RMVB, AVI, MP4,3GP<br />
Kolor : CZARNY<br />
<br />
Aby wyjść z gry trzeba jednocześnie wcisnąć przycisk ""START"" i SELECT"" na padzie.<br />
<br />
Wyjście HDMI gwarantuje niezakłóconą jakość obrazu, dźwięku i umożliwia granie na nowoczesnych telewizorach<br />
<br />
Konsola posiada również możliwość archiwizowania gier, wyszukiwania nazw gier czy tworzenia zakładek do ulubionych gier.<br />
<br />
Obsługa konsoli bez instalacji<br />
<br />
Emulator należy wpiąć do wejścia HDMI w TV<br />
Zasilić z gniazda USB telewizora lub ładowarki telefonicznej (w zestawie)<br />
Podłączyć odbiornik USB kontrolerów do wejścia w konsoli (w zesatwie)<br />
Umieścić baterię w kontrolerach (2x bateria AAA - brak baterii w zestawie)<br />
Powrót do menu głównego należy przytrzymać jednocześnie START i SELECT<br />
<br />
Bezprzewodowe pady<br />
<br />
DWA BEZPRZEWODOWE PADY umożliwiające obsługę sygnału 2,4 GHz, eliminujące potrzebę korzystania z przewodu i umożliwiające sterowanie konsolą za pomocą dwóch kontrolerów.<br />
<br />
Konsola posiada również możliwość archiwizowania gier, wyszukiwania nazw gier czy tworzenia zakładek do ulubionych gier.<br />
<br />
W zestawie:<br />
<br />
Konsola (do podłączenia pod HDMI w telewizorze)<br />
2 bezprzewodowe pady (zasilane bateriami 2xAAA - brak w zestawie)<br />
Adapter do padów<br />
Karta pamięci 32GB z wgranymi grami<br />
Kabel HDMI<br />
Oryginalne pudełko<br />
Kabel Micro USB<br />
Instrukcja w języku polskim",879368135
9,Super Mario 3D World + Bowser's Fury (Nintendo Switch),https://www.olx.pl/d/oferta/super-mario-3d-world-bowsers-fury-nintendo-switch-CID99-IDXwkFN.html,"Sprzedaję grę na Nintendo Switch Super Mario 3D World + Bowser's Fury.<br />
<br />
Stan kartridża i opakowania jest idealny, można grać od razu. Zainteresowanych proszę o pisanie wiadomości prywatnych. Możliwe jest osobiste spotkanie w Łodzi lub wysyłka przez OLX.",879271463
10,Gra Nintendo Switch Mario Strikers Battle League Football,https://www.olx.pl/d/oferta/gra-nintendo-switch-mario-strikers-battle-league-football-CID99-IDXwlFJ.html,"Witam<br />
Posiadam na sprzedaż oryginalną grę Marto Strikers Battle League Football na Nintendo Switch. Gra w pełni sprawna i pozbawiona wad ukrytych. <br />
<br />
Polecam i zapraszam na moje pozostałe ogłoszenia.",879275303
11,Tor Hot Wheels Mario jak nowy,https://www.olx.pl/d/oferta/tor-hot-wheels-mario-jak-nowy-CID88-IDXutE5.html,"Tor Hot Wheels Mario jak nowy, stan idealny.<br />
Brak opakowania<br />
Świetna zabawa dla dzieci od 3 roku życia<br />
Odbiór osobisty",879067625
12,"Stara gra telewizyjna Mario,Kaczki,i wiele innych",https://www.olx.pl/d/oferta/stara-gra-telewizyjna-mario-kaczki-i-wiele-innych-CID4042-IDXwUpk.html,Stare gry telewizyjne gra działa dwa pady pistolet kabel czincz jest i zasilacz cały komplet by podłączyć i grać szkoda wyrzucić odbiór tylko osobisty,879408826
13,Limitowane Nintendo Switch V2 Mario Red and Blue Edition,https://www.olx.pl/d/oferta/limitowane-nintendo-switch-v2-mario-red-and-blue-edition-CID99-IDVP8ZI.html,"Limitowane Nintendo Switch V2 Mario Red and Blue Edition<br />
<br />
Stan bardzo dobry, bliski kolekcjonerskiemu.<br />
<br />
Na ekranie, jak i obudowie konsoli brak rys.<br />
Joy-con'y sprawne, bez ""driftu"", prawie nieużywane. Głównie używany Switch Pro Controller, nie będący w tej ofercie. Drobne ślady użytkowania na ładowarce. Pudełko w świetnym stanie.<br />
<br />
W zestawie znajduje się:<br />
<br />
- konsola Nintendo Switch,<br />
- kontrolery Joy-Con (P) i (L),<br />
- stacja dokująca z wejściem HDMI,<br />
- Joy-Con grip,<br />
- paski do Joy-Con'ów,<br />
- ładowarka,<br />
- kabel HDMI,<br />
- oryginalny case,<br />
- instrukcja,<br />
- pudełko.<br />
<br />
Jeśli ktoś szuka sprawdzonego zestawu tej limitowanej wersji, bez wad i uszkodzeń to serdecznie polecam i zapraszam do zakupu.<br />
<br />
W innych ogłoszeniach:<br />
<br />
Limitowany kolekcjonerski Pad Nintendo N64<br />
Kolekcjonerskie katalogi<br />
<br />
Preferuje odbiór osobisty, nie wysyłam  przez OLX.<br />
<br />
Kontakt przez OLX, lub telefoniczny.",869216794
14,Torba Mario Hernandez,https://www.olx.pl/d/oferta/torba-mario-hernandez-CID87-IDX8v66.html,"Oryginalna torba kolumbijskiego projektanta Mario Hernandez z kolekcji BUTTERFLIES, to wybór dla kobiet ceniących sobie luksusowe dodatki doskonałej jakości. Torba wykonana ze skóry.<br />
<br />
Niechciany prezent. Pierwotna cena ok. 1500zł.",873833834
15,Mario Puzo - Rodzina Borgiów (wersja kieszonkowa),https://www.olx.pl/d/oferta/mario-puzo-rodzina-borgiow-wersja-kieszonkowa-CID751-IDXkHKP.html,"WYPRZEDAŻ REGAŁOWA;)<br />
Oferuję tytuły z mojej biblioteki. Wszystkie w bardzo dobrym stanie.<br />
<br />
Potrzebujesz więcej info lub zdjęć? Napisz lub zadzwoń.<br />
Chcesz kupić więcej moich przedmiotów? Skontaktuj się ze mną i zmoderuję ogłoszenie odpowiednio, aby umożliwić zakup z jedną przesyłką OLX (gwarantuję solidne zapakowanie na czas transportu). Zachęcam także do odbioru osobistego (Warszawa-Rembertów).<br />
<br />
Intrygi rodziny, której nazwisko zawsze było synonimem władzy, korupcji i zbrodni – niesławnych Borgiów. Na tle barwnego zgiełku włoskiego renesansu rozgrywa się partia śmiertelnej gry, której stawką jest władza nad centrum świata – Rzymem.<br />
Opowieść o korupcji, chciwości, zdradzie i grzechu oraz o początkach włoskiej mafii, która sięga XV wieku i… papieskiego urzędu.<br />
Kardynał Rodrigo Borgia został w 1492 r. wybrany na papieża, bynajmniej nie za zalety duchowe i świętość za życia. To człowiek opętany żądzą bogactwa i władzy, zręczny polityk bez skrupułów eliminujący rywali i wrogów, choć niepozbawiony pewnej szlachetności. Jego dzieci – Juan, Jofre, Cezar i Lukrecja – miały wspierać go w drodze do umocnienia największego imperium świata, tymczasem różnymi sposobami próbują zagarnąć dla siebie jak najwięcej władzy.<br />
Ale w pokrętny sposób pozostają wierni Rodzinie. Bo Rodzina nie wybacza nielojalności. Zwłaszcza rodzina Borgiów.",876738579
16,"Buty świecące Geox z serii Mario, rozmiar 29",https://www.olx.pl/d/oferta/buty-swiecace-geox-z-serii-mario-rozmiar-29-CID88-IDXenBW.html,"Do sprzedania ekstra buty chłopięce marki Geox, z serii Mario - świecące (światła z możliwością wyłączenia).<br />
Długość wkładki ok. 17,3cm<br />
Stan bardzo dobry.",875231179
17,SUPER MARIO stroj przebranie 110cm,https://www.olx.pl/d/oferta/super-mario-stroj-przebranie-110cm-CID88-IDXs4fS.html,"Sprzedam przebranie super Mario 110 cm dla chłopca <br />
Możliwa wysyłka przez olx <br />
Zapraszam",878493368
18,OKAZJA Nintendo super Mario 3D all stars,https://www.olx.pl/d/oferta/okazja-nintendo-super-mario-3d-all-stars-CID99-IDXtcTW.html,Gra jest w stanie idealnym zapraszam do zakupu preferuję przesyłkę olx,878764931
19,Lego Super Mario 71360 + 71373,https://www.olx.pl/d/oferta/lego-super-mario-71360-71373-CID88-IDXdq61.html,Sprzedam klocki Lego zestaw Mario + dodatek. Wszystko sprawne i zapakowane w woreczki. Instrukcja elektronicza. Pozdrawiam,875002405
20,Czapka z daszkiem + wąsy Super Mario Bros cosplay Nowa anime,https://www.olx.pl/d/oferta/czapka-z-daszkiem-wasy-super-mario-bros-cosplay-nowa-anime-CID88-IDWoiGC.html,"Przedmiotem tej oferty jest czerwona czapka z daszkiem oraz wąsy na postać Mario z gry Mario Bros.<br />
Element cosplay’u.<br />
Wąsy do przyklejenia pod nosem :)<br />
Rozmiar: obwód głowy 52 – 58 cm (dla większości dzieci i nastolatków).<br />
UNISEX<br />
Na innym naszym ogłoszeniu znajdziesz czapkę Luigi.",848042858
21,Dobe rakiety tenisowe Nintendo Switch Joy-Con 2szt mario Tennis,https://www.olx.pl/d/oferta/dobe-rakiety-tenisowe-nintendo-switch-joy-con-2szt-mario-tennis-CID99-IDXm4Eh.html,"Zestaw rakiet tenisowych Dobe Switch (róż + zielony ) do kontrolera Nintendo Switch Joy-Con<br />
<br />
sprzedawane same rakiet - bez kontrolerów<br />
<br />
    Kompatybilny z kontrolerem Nintendo Switch Joy-Con<br />
    Rakieta tenisowa, aby poprawić wrażenia z gry<br />
<br />
opakowanie może posiadać lekkie ślady transportowe",877064913
22,Konsola Nintendo Switch OLED 4/64GB WIFI Biała + GRY + ETUI,https://www.olx.pl/d/oferta/konsola-nintendo-switch-oled-4-64gb-wifi-biala-gry-etui-CID99-IDXsH3B.html,"Witam,<br />
<br />
mam do sprzedania konsole Nintendo Switch OLED w bardzo dobrym stanie. Sprzęt mało używany, kupiony w tym roku (31.07.2023) w OleOle. <br />
<br />
Dodatkowo w skład zestawu wchodzą 4 gry:<br />
<br />
-Zelda: Tears of the Kingdom<br />
-Animal Crossing<br />
-Super Mario: Odyssey<br />
-Nintendo Switch Sports (z opaską na nogę, która w ogóle nie była używana) <br />
<br />
oraz etui z walizką do transportu.",878642523
23,Super Mario Bros Wonder,https://www.olx.pl/d/oferta/super-mario-bros-wonder-CID99-IDXpP36.html,Gra Super Mario Bros Wonder na konsole Nintendo Switch.,877958260
